Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Iowa Wild,33,G,John Curry,J. Curry,14,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Norfolk Admirals,36,G,John Gibson,J. Gibson,6,0,1,0,0,0,0.00,0.17,0.00,0.00,0.00,0,0,-
Texas Stars,4,D,John Klingberg,J. Klingberg,10,4,8,3,4,22,0.40,0.80,0.30,0.40,2.20,10,5,0.67
Norfolk Admirals,12,LW,John Kurtz,J. Kurtz,32,2,2,1,2,35,0.06,0.06,0.03,0.06,1.09,7,12,0.37
Chicago Wolves,17,LW,John McCarthy,J. McCarthy,23,4,3,4,3,34,0.17,0.13,0.17,0.13,1.48,9,10,0.47
San Antonio Rampage,18,RW,John McFarland,J. McFarland,9,2,2,1,2,12,0.22,0.22,0.11,0.22,1.33,4,2,0.67
Charlotte Checkers,30,G,John Muse,J. Muse,13,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Utica Comets,11,D,John Negrin,J. Negrin,14,0,1,0,1,10,0.00,0.07,0.00,0.07,0.71,4,2,0.67
Bridgeport Sound Tigers,23,LW,John Persson,J. Persson,22,2,5,2,4,39,0.09,0.23,0.09,0.18,1.77,7,7,0.50
Adirondack Flames,7,D,John Ramage,J. Ramage,23,0,7,0,3,35,0.00,0.30,0.00,0.13,1.52,9,9,0.50
Hershey Bears,4,D,Jon  Landry,J.  Landry,31,1,3,0,0,32,0.03,0.10,0.00,0.00,1.03,0,0,-
Milwaukee Admirals,3,D,Jonathan Diaby,J. Diaby,21,0,0,0,0,6,0.00,0.00,0.00,0.00,0.29,5,5,0.50
Syracuse Crunch,27,LW,Jonathan Drouin,J. Drouin,2,1,2,1,2,9,0.50,1.00,0.50,1.00,4.50,5,1,0.83
Syracuse Crunch,18,RW,Jonathan Marchessault,J. Marchessault,34,9,22,4,11,123,0.26,0.65,0.12,0.32,3.62,25,16,0.61
San Antonio Rampage,6,D,Jonathan Racine,J. Racine,33,0,0,0,0,25,0.00,0.00,0.00,0.00,0.76,13,10,0.57
Iowa Wild,7,D,Jonathon Blum,J. Blum,29,4,12,1,7,43,0.14,0.41,0.03,0.24,1.48,14,25,0.36
Adirondack Flames,31,G,Joni Ortio,J. Ortio,27,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Chicago Wolves,30,G,Jordan Binnington,J. Binnington,16,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Providence Bruins,27,F,Jordan Caron,J. Caron,23,9,10,6,8,54,0.39,0.43,0.26,0.35,2.35,18,12,0.60
St. John's IceCaps,29,D,Jordan Hill,J. Hill,21,0,1,0,1,16,0.00,0.05,0.00,0.05,0.76,7,15,0.32
Portland Pirates,17,C,Jordan Martinook,J. Martinook,32,8,12,4,8,82,0.25,0.38,0.13,0.25,2.56,15,16,0.48
Oklahoma City Barons,15,D,Jordan Oesterle,J. Oesterle,35,5,12,4,7,53,0.14,0.34,0.11,0.20,1.51,18,22,0.45
Rochester Americans,18,LW,Jordan Samuels-Thomas,J. Samuels-Thomas,29,3,3,2,2,36,0.10,0.10,0.07,0.07,1.24,6,15,0.29
Iowa Wild,10,C,Jordan Schroeder,J. Schroeder,28,10,14,7,7,72,0.36,0.50,0.25,0.25,2.57,15,19,0.44
Portland Pirates,10,RW,Jordan Szwarz,J. Szwarz,14,3,2,2,1,30,0.21,0.14,0.14,0.07,2.14,4,6,0.40
Manchester Monarchs,19,C,Jordan Weal,J. Weal,36,11,22,5,14,80,0.31,0.61,0.14,0.39,2.22,24,17,0.59
Portland Pirates,3,D,Jordon Southorn,J. Southorn,12,1,3,0,2,24,0.08,0.25,0.00,0.17,2.00,5,3,0.63
Norfolk Admirals,19,C,Joseph Cramarossa,J. Cramarossa,26,4,3,3,3,29,0.15,0.12,0.12,0.12,1.12,8,11,0.42
Springfield Falcons,8,RW,Josh Anderson,J. Anderson,33,4,6,3,4,54,0.12,0.18,0.09,0.12,1.64,12,10,0.55
Wilkes-Barre/Scranton Penguins,15,RW,Josh Archibald,J. Archibald,26,2,3,1,2,44,0.08,0.12,0.04,0.08,1.69,9,9,0.50
Manchester Monarchs,13,LW,Josh Gratton,J. Gratton,22,2,2,2,2,16,0.09,0.09,0.09,0.09,0.73,5,4,0.56
Iowa Wild,37,G,Josh Harding,J. Harding,2,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Adirondack Flames,17,RW,Josh Jooris,J. Jooris,2,0,0,0,0,6,0.00,0.00,0.00,0.00,3.00,0,0,-
Toronto Marlies,14,RW,Josh Leivo,J. Leivo,15,3,7,2,6,35,0.20,0.47,0.13,0.40,2.33,9,4,0.69
Norfolk Admirals,3,D,Josh Manson,J. Manson,11,0,2,0,1,14,0.00,0.18,0.00,0.09,1.27,4,6,0.40
San Antonio Rampage,4,D,Josh McFadden,J. McFadden,2,0,1,0,1,2,0.00,0.50,0.00,0.50,1.00,1,0,1.00
Hartford Wolf Pack,49,RW,Josh Nicholls,J. Nicholls,5,0,1,0,1,3,0.00,0.20,0.00,0.20,0.60,1,1,0.50
Oklahoma City Barons,37,LW,Joshua Winquist,J. Winquist,12,2,3,2,3,10,0.17,0.25,0.17,0.25,0.83,7,3,0.70
Oklahoma City Barons,7,C,Jujhar Khaira,J. Khaira,30,1,2,1,2,39,0.03,0.07,0.03,0.07,1.30,9,14,0.39
St. John's IceCaps,44,D,Julian Melchiori,J. Melchiori,37,0,3,0,3,29,0.00,0.08,0.00,0.08,0.78,14,20,0.41
St. John's IceCaps,49,D,Julien Brouillette,J. Brouillette,11,2,2,2,1,25,0.18,0.18,0.18,0.09,2.27,8,3,0.73
Texas Stars,7,D,Julius Honka,J. Honka,29,2,7,1,6,54,0.07,0.24,0.03,0.21,1.86,17,21,0.45
St. John's IceCaps,31,G,Jussi Olkinuora,J. Olkinuora,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Texas Stars,40,G,Jussi Rynnas,J. Rynnas,17,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Manchester Monarchs,39,RW,Justin Auger,J. Auger,34,6,10,6,8,53,0.18,0.29,0.18,0.24,1.56,19,10,0.66
Bridgeport Sound Tigers,14,LW,Justin Courtnall,J. Courtnall,21,2,3,1,3,22,0.10,0.14,0.05,0.14,1.05,6,5,0.55
Texas Stars,10,C,Justin Dowling,J. Dowling,26,8,10,7,6,60,0.31,0.38,0.27,0.23,2.31,17,14,0.55
Iowa Wild,44,D,Justin Falk,J. Falk,21,1,3,1,2,29,0.05,0.14,0.05,0.10,1.38,10,16,0.38
Providence Bruins,18,LW,Justin Florek,J. Florek,35,6,8,3,4,89,0.17,0.23,0.09,0.11,2.54,12,15,0.44
Portland Pirates,28,D,Justin Hache,J. Hache,30,0,4,0,3,21,0.00,0.13,0.00,0.10,0.70,14,19,0.42
Portland Pirates,12,C,Justin Hodgman,J. Hodgman,27,6,11,4,8,40,0.22,0.41,0.15,0.30,1.48,12,12,0.50
Rochester Americans,14,C,Justin Kea,J. Kea,2,0,0,0,0,2,0.00,0.00,0.00,0.00,1.00,1,1,0.50
Charlotte Checkers,14,RW,Justin Shugg,J. Shugg,24,12,5,8,5,59,0.50,0.21,0.33,0.21,2.46,13,14,0.48
Hartford Wolf Pack,23,LW,Justin Vaive,J. Vaive,26,8,6,4,4,46,0.31,0.23,0.15,0.15,1.77,11,14,0.44
Texas Stars,3,D,Jyrki Jokipakka,J. Jokipakka,11,2,0,1,0,13,0.18,0.00,0.09,0.00,1.18,5,7,0.42
Bridgeport Sound Tigers,21,C,Kael Mouillierat,K. Mouillierat,34,9,19,7,9,75,0.26,0.56,0.21,0.26,2.21,23,21,0.52
Oklahoma City Barons,22,LW,Kale Kessy,K. Kessy,17,3,3,2,3,19,0.18,0.18,0.12,0.18,1.12,7,14,0.33
Utica Comets,4,D,Kane Lafranchise,K. Lafranchise,18,2,7,2,5,25,0.11,0.39,0.11,0.28,1.39,13,8,0.62
Lake Erie Monsters,3,D,Karl Stollery,K. Stollery,28,4,5,4,4,38,0.14,0.18,0.14,0.14,1.36,13,18,0.42
St. John's IceCaps,4,D,Keaton Ellerby,K. Ellerby,18,0,6,0,6,25,0.00,0.33,0.00,0.33,1.39,12,16,0.43
Charlotte Checkers,4,D,Keegan Lowe,K. Lowe,30,1,4,1,3,29,0.03,0.13,0.03,0.10,0.97,11,22,0.33
Oklahoma City Barons,5,D,Keith Aulie,K. Aulie,8,0,1,0,1,11,0.00,0.13,0.00,0.13,1.38,4,10,0.29
Albany Devils,1,G,Keith Kinkaid,K. Kinkaid,13,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Oklahoma City Barons,23,C,Kellan Lain,K. Lain,12,0,1,0,1,19,0.00,0.08,0.00,0.08,1.58,2,2,0.50
Oklahoma City Barons,36,LW,Kellen Jones,K. Jones,8,2,2,2,2,9,0.25,0.25,0.25,0.25,1.13,4,6,0.40
