Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Texas Stars,37,RW,Valeri Nichushkin,V. Nichushkin,2,0,1,0,0,7,0.00,0.50,0.00,0.00,3.50,0,2,0.00
Milwaukee Admirals,33,RW,Viktor Arvidsson,V. Arvidsson,33,10,10,4,6,104,0.30,0.30,0.12,0.18,3.15,12,11,0.52
Toronto Marlies,50,D,Viktor Loov,V. Loov,34,2,8,2,6,42,0.06,0.24,0.06,0.18,1.24,21,17,0.55
Milwaukee Admirals,25,LW,Viktor Stalberg,V. Stalberg,6,2,4,1,4,16,0.33,0.67,0.17,0.67,2.67,5,2,0.71
Rockford IceHogs,8,D,Viktor Svedberg,V. Svedberg,27,2,4,2,3,33,0.07,0.15,0.07,0.11,1.22,14,10,0.58
Rockford IceHogs,29,D,Ville Pokka,V. Pokka,30,6,8,3,7,72,0.20,0.27,0.10,0.23,2.40,25,19,0.57
Manchester Monarchs,5,D,Vincent LoVerde,V. LoVerde,32,4,3,3,2,44,0.13,0.09,0.09,0.06,1.38,20,13,0.61
San Antonio Rampage,14,C,Vincent Trocheck,V. Trocheck,8,2,4,2,3,16,0.25,0.50,0.25,0.38,2.00,9,3,0.75
Hartford Wolf Pack,47,RW,Vinny Saponari,V. Saponari,3,0,1,0,1,1,0.00,0.33,0.00,0.33,0.33,1,1,0.50
Syracuse Crunch,90,C,Vladislav Namestnikov,V. Namestnikov,14,7,8,3,6,42,0.50,0.57,0.21,0.43,3.00,8,6,0.57
Utica Comets,36,C,Wacey Hamilton,W. Hamilton,31,4,9,4,8,42,0.13,0.29,0.13,0.26,1.35,15,9,0.63
San Antonio Rampage,28,C,Wade Megan,W. Megan,21,0,1,0,1,31,0.00,0.05,0.00,0.05,1.48,4,10,0.29
Providence Bruins,16,F,Wayne Simpson,W. Simpson,2,0,0,0,0,1,0.00,0.00,0.00,0.00,0.50,0,1,0.00
Utica Comets,41,C,Will Acton,W. Acton,22,4,5,4,4,48,0.18,0.23,0.18,0.18,2.18,8,10,0.44
St. John's IceCaps,27,D,Will O'Neill,W. O'Neill,33,5,12,1,7,74,0.15,0.36,0.03,0.21,2.24,19,25,0.43
Springfield Falcons,4,D,Will Weber,W. Weber,10,0,0,0,0,9,0.00,0.00,0.00,0.00,0.90,5,4,0.56
Rochester Americans,28,LW,William Carrier,W. Carrier,33,2,3,2,3,29,0.06,0.09,0.06,0.09,0.88,10,10,0.50
Norfolk Admirals,22,C,William Karlsson,W. Karlsson,18,4,4,2,1,35,0.22,0.22,0.11,0.06,1.94,5,9,0.36
Texas Stars,2,D,William Wrenn,W. Wrenn,20,1,1,1,1,13,0.05,0.05,0.05,0.05,0.65,8,12,0.40
Worcester Sharks,26,RW,Willie Coetzee,W. Coetzee,6,2,2,2,2,12,0.33,0.33,0.33,0.33,2.00,4,0,1.00
Grand Rapids Griffins,16,D,Xavier Ouellet,X. Ouellet,21,1,7,1,5,56,0.05,0.33,0.05,0.24,2.67,19,14,0.58
Hartford Wolf Pack,0,G,Yann Danis,Y. Danis,11,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
St. John's IceCaps,20,D,Yann Sauve,Y. Sauve,4,1,0,0,0,6,0.25,0.00,0.00,0.00,1.50,2,2,0.50
Syracuse Crunch,37,LW,Yanni Gourde,Y. Gourde,35,13,14,10,12,73,0.37,0.40,0.29,0.34,2.09,23,10,0.70
Chicago Wolves,18,LW,Yannick Veilleux,Y. Veilleux,27,4,1,3,1,35,0.15,0.04,0.11,0.04,1.30,8,10,0.44
Rochester Americans,21,RW,Zac Dalpe,Z. Dalpe,29,6,6,3,4,82,0.21,0.21,0.10,0.14,2.83,10,15,0.40
Charlotte Checkers,11,LW,Zach Boychuk,Z. Boychuk,2,1,0,1,0,8,0.50,0.00,0.50,0.00,4.00,1,0,1.00
Milwaukee Admirals,24,RW,Zach Budish,Z. Budish,7,2,2,2,2,11,0.29,0.29,0.29,0.29,1.57,5,2,0.71
Rockford IceHogs,3,D,Zach Miskovic,Z. Miskovic,19,1,1,1,1,28,0.05,0.05,0.05,0.05,1.47,8,9,0.47
Manchester Monarchs,10,RW,Zach O'Brien,Z. O'Brien,31,8,9,8,7,53,0.26,0.29,0.26,0.23,1.71,20,12,0.63
Providence Bruins,37,D,Zach Trotman,Z. Trotman,11,0,3,0,1,16,0.00,0.27,0.00,0.09,1.45,4,15,0.21
Iowa Wild,18,F,Zack Mitchell,Z. Mitchell,34,9,6,6,6,56,0.26,0.18,0.18,0.18,1.65,18,19,0.49
Iowa Wild,51,C,Zack Phillips,Z. Phillips,34,5,8,3,6,54,0.15,0.24,0.09,0.18,1.59,12,17,0.41
Lehigh Valley Phantoms,45,RW,Zack Stortini,Z. Stortini,33,5,8,4,5,52,0.15,0.24,0.12,0.15,1.58,13,9,0.59
Wilkes-Barre/Scranton Penguins,42,C,Zack Torquato,Z. Torquato,12,1,1,0,1,13,0.08,0.08,0.00,0.08,1.08,3,2,0.60
